LogId,BlockId,Timestamp,Level,Server,Component,PID,User,Message,FullLog,RootCause,Label
LOG0000001,blk_210053353,2024-01-01 00:00:00,ERROR,db-replica,nginx,10144,user_0189,Bad sector detected at block 4096,2024-01-01 00:00:00 ERROR [db-replica] nginx[10144]: Bad sector detected at block 4096,Disk Failure,1
LOG0000002,blk_349817734,2024-01-01 00:00:09,ERROR,server-01,kernel,7140,user_0056,ARP table overflow network flooding,2024-01-01 00:00:09 ERROR [server-01] kernel[7140]: ARP table overflow network flooding,Network Issue,1
LOG0000009,blk_795822698,2024-01-01 00:00:42,ERROR,db-replica,java-app,46994,user_0175,Database connection pool exhausted timeout,2024-01-01 00:00:42 ERROR [db-replica] java-app[46994]: Database connection pool exhausted timeout,Application Crash,1
LOG0000015,blk_950488739,2024-01-01 00:01:13,ERROR,server-02,mysqld,42120,user_0041,Connection timeout to 192.168.1.1 after 30s,2024-01-01 00:01:13 ERROR [server-02] mysqld[42120]: Connection timeout to 192.168.1.1 after 30s,Network Issue,1
LOG0000018,blk_771410971,2024-01-01 00:01:28,ERROR,proxy-01,mysqld,34271,user_0028,Bad sector detected at block 4096,2024-01-01 00:01:28 ERROR [proxy-01] mysqld[34271]: Bad sector detected at block 4096,Disk Failure,1
LOG0000026,blk_454794895,2024-01-01 00:02:05,ERROR,db-replica,sshd,60337,user_0009,Connection timeout to 192.168.1.1 after 30s,2024-01-01 00:02:05 ERROR [db-replica] sshd[60337]: Connection timeout to 192.168.1.1 after 30s,Network Issue,1
LOG0000037,blk_364371717,2024-01-01 00:03:04,ERROR,app-server,sshd,62708,user_0146,Swap usage at 100 percent system thrashing,2024-01-01 00:03:04 ERROR [app-server] sshd[62708]: Swap usage at 100 percent system thrashing,Memory Overflow,1
LOG0000047,blk_236843584,2024-01-01 00:03:54,ERROR,monitor-01,postgres,10705,user_0111,GC overhead limit exceeded,2024-01-01 00:03:54 ERROR [monitor-01] postgres[10705]: GC overhead limit exceeded,Memory Overflow,1
LOG0000056,blk_813219781,2024-01-01 00:04:38,ERROR,db-replica,cron,29265,user_0018,HDD temperature exceeded threshold 65C,2024-01-01 00:04:38 ERROR [db-replica] cron[29265]: HDD temperature exceeded threshold 65C,Disk Failure,1
LOG0000065,blk_816806128,2024-01-01 00:05:23,ERROR,server-02,network-manager,9738,user_0119,Swap usage at 100 percent system thrashing,2024-01-01 00:05:23 ERROR [server-02] network-manager[9738]: Swap usage at 100 percent system thrashing,Memory Overflow,1
